AgeGroup,Gender,CityTier,Occupation,PlayFrequency,PlayingLevel,PlayLocation,Motivation_1,Motivation_2,RacketsOwned,PrimaryBrand,StringChangeFreq,Factor_1,Factor_2,LastPurchase,PurchaseChannel,Item_1,Item_2,PlayerType,BrandImportance,WillingToPayPremium,UsesFitnessApps,InterestInTracking,InterestInRecommendations,MonthlySpend,TooExpensivePrice,ScenarioResponse,InterestLevel,InterestBinary,EngagementScore,SeriousnessIndex,SpendingScore
35-44,Male,Tier 2,Working Professional,Daily,Competitive,Outdoor,Stress relief,Competition,3+,Decathlon,2-3 months,Brand,Performance,1-3 months,Online,Strings,Apparel,Competitive player,Very important,Maybe,No,Yes,Yes,3000+,5000-10000,Buy branded,Likely,1,9,13,9
45+,Female,Tier 1,Business Owner,1-2/week,Intermediate,Indoor courts,Stress relief,Socializing,1,Decathlon,Monthly,Performance,Recommendation,3-6 months,Offline store,Shuttlecocks,Strings,Competitive player,Not important,No,No,Yes,Yes,3000+,5000-10000,Buy branded,Likely,1,5,7,8
25-34,Male,Tier 2,Working Professional,3-5/week,Advanced,Indoor courts,Fitness,Stress relief,1,Yonex,Monthly,Brand,,<1 month,Brand store,Strings,Grips,Fitness-focused,Not important,Maybe,Yes,Yes,Maybe,3000+,5000-10000,Buy branded,Likely,1,7,10,8
45+,Female,Tier 3,Working Professional,Daily,Competitive,Outdoor,Competition,,1,Yonex,Monthly,Brand,Performance,<1 month,Offline store,Shoes,Grips,Competitive player,Not important,Maybe,Yes,Yes,Yes,1500-3000,2000-5000,Buy immediately,Likely,1,9,13,6
Under 18,Male,Tier 2,Student,Occasionally,Beginner,Indoor courts,Fitness,Stress relief,2,Yonex,Never,Performance,,<1 month,Offline store,Grips,Shuttlecocks,Casual player,Very important,Maybe,No,Yes,Yes,1500-3000,10000+,Skip,Very likely,1,3,4,7
18-24,Male,Tier 2,Student,Occasionally,Advanced,Society/club,Competition,Socializing,2,Li-Ning,2-3 months,Performance,,>6 months,Online,Grips,,Competitive player,Somewhat important,No,No,Yes,Yes,1500-3000,2000-5000,Buy immediately,Likely,1,5,8,6
18-24,Male,Tier 2,Student,Daily,Competitive,Indoor courts,Competition,Socializing,2,Decathlon,Monthly,Recommendation,Brand,<1 month,Offline store,Apparel,Strings,Competitive player,Very important,Yes,No,Maybe,Maybe,3000+,2000-5000,Skip,Likely,1,9,13,9
18-24,Female,Tier 2,Working Professional,Occasionally,Intermediate,Outdoor,Competition,Stress relief,3+,Yonex,2-3 months,Performance,Brand,1-3 months,Offline store,Apparel,Shoes,Casual player,Somewhat important,Maybe,No,Maybe,Maybe,1500-3000,<2000,Buy branded,Likely,1,4,6,6
Under 18,Male,Tier 1,Student,1-2/week,Advanced,Indoor courts,Fitness,,2,Yonex,Monthly,Performance,,1-3 months,Online,Grips,Shuttlecocks,Aspiring professional,Somewhat important,Yes,No,Yes,Yes,500-1500,2000-5000,Buy immediately,Very likely,1,6,9,4
25-34,Male,Tier 3,Working Professional,1-2/week,Intermediate,Society/club,Competition,,2,Yonex,Monthly,Performance,Recommendation,<1 month,Offline store,Strings,,Fitness-focused,Somewhat important,Maybe,Yes,Maybe,Yes,3000+,2000-5000,Buy branded,Neutral,0,5,7,8
35-44,Male,Tier 1,Working Professional,1-2/week,Intermediate,Society/club,Competition,Socializing,2,Decathlon,2-3 months,Performance,,<1 month,Offline store,Shuttlecocks,Strings,Competitive player,Not important,Maybe,Yes,Maybe,Yes,1500-3000,2000-5000,Buy branded,Neutral,0,5,7,6
25-34,Male,Tier 1,Others,Occasionally,Beginner,Indoor courts,Stress relief,Socializing,1,Decathlon,2-3 months,Recommendation,Brand,>6 months,Offline store,Shuttlecocks,Strings,Casual player,Not important,No,Yes,Maybe,No,1500-3000,5000-10000,Skip,Neutral,0,3,4,6
Under 18,Female,Tier 3,Student,3-5/week,Beginner,Outdoor,Competition,Fitness,2,Li-Ning,2-3 months,Brand,Price,<1 month,Online,Shoes,,Fitness-focused,Not important,No,No,No,Maybe,1500-3000,2000-5000,Buy branded,Likely,1,5,6,6
35-44,Male,Tier 1,Working Professional,1-2/week,Advanced,Indoor courts,Fitness,,3+,Yonex,Never,Brand,Price,1-3 months,Offline store,Grips,Strings,Casual player,Very important,Maybe,No,Yes,Yes,1500-3000,5000-10000,Buy branded,Very likely,1,6,9,7
25-34,Female,Tier 1,Working Professional,1-2/week,Beginner,Society/club,Stress relief,Fitness,1,Decathlon,Rarely,Brand,Price,3-6 months,Online,Shoes,Grips,Casual player,Somewhat important,Maybe,No,Maybe,No,500-1500,5000-10000,Skip,Neutral,0,4,5,4
18-24,Male,Tier 1,Working Professional,Occasionally,Beginner,Indoor courts,Socializing,Stress relief,1,Decathlon,Rarely,Recommendation,,>6 months,Online,Shuttlecocks,Apparel,Casual player,Somewhat important,Yes,No,No,Maybe,1500-3000,<2000,Buy immediately,Likely,1,3,4,6
25-34,Female,Tier 1,Working Professional,Rarely,Beginner,Society/club,Competition,,2,Decathlon,Never,Recommendation,Brand,3-6 months,Brand store,Grips,Strings,Casual player,Not important,No,Yes,No,Maybe,500-1500,2000-5000,Skip,Very likely,1,2,3,4
18-24,Male,Tier 1,Student,Occasionally,Intermediate,Outdoor,Stress relief,Fitness,1,Li-Ning,2-3 months,Performance,Price,>6 months,Online,Apparel,Shuttlecocks,Fitness-focused,Somewhat important,No,Yes,Maybe,Yes,1500-3000,2000-5000,Buy immediately,Neutral,0,4,6,6
18-24,Male,Tier 1,Student,Occasionally,Advanced,Society/club,Competition,,2,Yonex,2-3 months,Recommendation,Price,3-6 months,Offline store,Strings,Shuttlecocks,Competitive player,Somewhat important,Maybe,No,No,Maybe,500-1500,2000-5000,Buy branded,Unlikely,0,5,8,4
45+,Male,Tier 2,Working Professional,Rarely,Beginner,Outdoor,Fitness,Stress relief,2,Decathlon,2-3 months,Performance,Brand,>6 months,Online,Shuttlecocks,Grips,Casual player,Not important,Maybe,Yes,Maybe,No,500-1500,<2000,Buy immediately,Likely,1,2,3,4
18-24,Female,Tier 3,Student,Occasionally,Beginner,Indoor courts,Socializing,,2,Others,Rarely,Brand,Price,>6 months,Online,Shuttlecocks,Strings,Casual player,Somewhat important,Yes,Yes,Maybe,No,0-500,<2000,Borrow,Unlikely,0,3,4,2
18-24,Male,Tier 1,Working Professional,Occasionally,Beginner,Outdoor,Fitness,Competition,2,Others,Rarely,Performance,Recommendation,<1 month,Brand store,Shuttlecocks,Shoes,Casual player,Very important,No,No,Yes,Yes,500-1500,2000-5000,Borrow,Likely,1,3,4,5
35-44,Female,Tier 3,Working Professional,Rarely,Beginner,Outdoor,Stress relief,Fitness,1,Yonex,Rarely,Price,,1-3 months,Offline store,Strings,Shuttlecocks,Casual player,Somewhat important,Maybe,No,No,Maybe,0-500,<2000,Borrow,Neutral,0,2,3,2
25-34,Female,Tier 1,Working Professional,Daily,Intermediate,Outdoor,Socializing,Competition,2,Li-Ning,Monthly,Brand,Price,1-3 months,Brand store,Grips,Strings,Fitness-focused,Somewhat important,No,Yes,Yes,Maybe,500-1500,2000-5000,Buy immediately,Very likely,1,7,9,4
Under 18,Male,Tier 1,Student,1-2/week,Beginner,Society/club,Socializing,Competition,2,Decathlon,Rarely,Performance,Price,1-3 months,Brand store,Apparel,Shuttlecocks,Casual player,Not important,No,No,Yes,No,0-500,<2000,Buy immediately,Unlikely,0,4,5,2
Under 18,Male,Tier 1,Student,Occasionally,Intermediate,Indoor courts,Fitness,Stress relief,1,Yonex,Rarely,Recommendation,Price,<1 month,Online,Strings,Shuttlecocks,Casual player,Somewhat important,Maybe,No,Yes,No,1500-3000,2000-5000,Buy branded,Neutral,0,4,6,6
Under 18,Male,Tier 2,Student,Rarely,Beginner,Society/club,Socializing,,1,Decathlon,2-3 months,Brand,Performance,>6 months,Brand store,Grips,Shuttlecocks,Casual player,Not important,No,No,Maybe,No,500-1500,<2000,Skip,Neutral,0,2,3,4
25-34,Male,Tier 2,Working Professional,Occasionally,Beginner,Indoor courts,Fitness,Competition,2,Decathlon,Monthly,Price,Performance,1-3 months,Online,Shuttlecocks,Strings,Casual player,Not important,Maybe,Yes,Maybe,Yes,0-500,2000-5000,Borrow,Unlikely,0,3,4,2
18-24,Female,Tier 2,Student,Occasionally,Beginner,Society/club,Stress relief,,2,Decathlon,2-3 months,Recommendation,,1-3 months,Online,Strings,,Fitness-focused,Somewhat important,Maybe,Yes,No,No,0-500,<2000,Buy immediately,Unlikely,0,3,4,2
Under 18,Female,Tier 3,Student,Rarely,Intermediate,Society/club,Fitness,Stress relief,1,Yonex,Rarely,Price,Recommendation,>6 months,Offline store,Shuttlecocks,Grips,Fitness-focused,Very important,Yes,Yes,Maybe,No,500-1500,2000-5000,Buy branded,Neutral,0,3,5,5
45+,Male,Tier 2,Working Professional,1-2/week,Beginner,Indoor courts,Stress relief,,1,Li-Ning,Never,Recommendation,Performance,<1 month,Online,Shoes,Shuttlecocks,Casual player,Somewhat important,Yes,Yes,Maybe,Maybe,0-500,2000-5000,Buy immediately,Likely,1,4,5,2
25-34,Male,Tier 2,Working Professional,Daily,Competitive,Outdoor,Socializing,,2,Yonex,Monthly,Performance,Price,3-6 months,Offline store,Strings,,Competitive player,Somewhat important,Yes,No,Yes,No,1500-3000,2000-5000,Borrow,Very likely,1,9,13,6
18-24,Male,Tier 3,Working Professional,Daily,Advanced,Outdoor,Fitness,Socializing,3+,Li-Ning,Rarely,Price,,<1 month,Online,Apparel,Shuttlecocks,Fitness-focused,Somewhat important,Maybe,No,No,No,500-1500,5000-10000,Buy branded,Likely,1,8,11,4
25-34,Male,Tier 1,Working Professional,1-2/week,Intermediate,Outdoor,Socializing,,2,Others,Rarely,Price,,>6 months,Online,Grips,Strings,Casual player,Very important,Yes,Yes,Yes,Maybe,1500-3000,<2000,Buy immediately,Neutral,0,5,7,7
25-34,Female,Tier 1,Business Owner,1-2/week,Intermediate,Society/club,Competition,,1,Li-Ning,2-3 months,Brand,,3-6 months,Brand store,Shuttlecocks,Grips,Casual player,Very important,Yes,Yes,Yes,No,500-1500,<2000,Buy immediately,Very likely,1,5,7,5
Under 18,Male,Tier 2,Student,1-2/week,Beginner,Society/club,Competition,Fitness,1,Decathlon,Rarely,Price,Performance,1-3 months,Offline store,Strings,Shuttlecocks,Casual player,Not important,No,No,Yes,Maybe,3000+,5000-10000,Buy immediately,Neutral,0,4,5,8
18-24,Female,Tier 2,Working Professional,1-2/week,Beginner,Society/club,Socializing,Stress relief,1,Yonex,Rarely,Recommendation,,>6 months,Online,Apparel,Strings,Fitness-focused,Somewhat important,Yes,No,No,Maybe,1500-3000,5000-10000,Skip,Neutral,0,4,5,6
35-44,Male,Tier 1,Working Professional,Rarely,Beginner,Indoor courts,Fitness,Competition,2,Decathlon,Never,Recommendation,,3-6 months,Brand store,Shuttlecocks,Strings,Fitness-focused,Not important,No,Yes,Yes,Yes,500-1500,2000-5000,Buy immediately,Likely,1,2,3,4
18-24,Male,Tier 1,Student,1-2/week,Advanced,Outdoor,Fitness,,3+,Yonex,Rarely,Performance,Price,1-3 months,Brand store,Strings,Grips,Fitness-focused,Very important,Yes,Yes,Yes,Yes,3000+,10000+,Buy immediately,Very likely,1,6,9,9
25-34,Male,Tier 2,Others,Occasionally,Beginner,Outdoor,Fitness,,1,Yonex,Rarely,Recommendation,,3-6 months,Online,Shuttlecocks,Strings,Fitness-focused,Somewhat important,Yes,Yes,Yes,Maybe,500-1500,<2000,Borrow,Likely,1,3,4,4
18-24,Male,Tier 2,Working Professional,Rarely,Beginner,Society/club,Fitness,,3+,Decathlon,Rarely,Brand,Recommendation,<1 month,Offline store,Shuttlecocks,Grips,Fitness-focused,Not important,Maybe,Yes,Yes,Maybe,500-1500,10000+,Borrow,Neutral,0,2,3,4
Under 18,Male,Tier 1,Student,1-2/week,Intermediate,Outdoor,Fitness,,2,Yonex,2-3 months,Price,Performance,3-6 months,Offline store,Grips,Shuttlecocks,Casual player,Not important,No,No,Maybe,Maybe,500-1500,<2000,Borrow,Unlikely,0,5,7,4
18-24,Female,Tier 3,Student,1-2/week,Advanced,Outdoor,Fitness,Competition,2,Li-Ning,Never,Performance,Recommendation,1-3 months,Offline store,Strings,Grips,Casual player,Very important,Yes,No,Maybe,Maybe,3000+,2000-5000,Buy branded,Likely,1,6,9,9
18-24,Female,Tier 3,Student,Occasionally,Intermediate,Society/club,Stress relief,Fitness,1,Yonex,Rarely,Performance,Brand,1-3 months,Brand store,Strings,,Casual player,Somewhat important,Maybe,Yes,Yes,No,1500-3000,2000-5000,Buy immediately,Very likely,1,4,6,6
18-24,Male,Tier 2,Working Professional,Occasionally,Beginner,Outdoor,Socializing,Competition,2,Others,Rarely,Price,Brand,>6 months,Online,Apparel,,Casual player,Not important,Maybe,Yes,Yes,Maybe,500-1500,2000-5000,Skip,Unlikely,0,3,4,4
Under 18,Male,Tier 2,Student,1-2/week,Beginner,Society/club,Stress relief,Fitness,1,Yonex,Never,Performance,,1-3 months,Offline store,Grips,Apparel,Casual player,Somewhat important,No,No,Maybe,Yes,0-500,2000-5000,Skip,Neutral,0,4,5,2
35-44,Male,Tier 3,Working Professional,3-5/week,Intermediate,Outdoor,Socializing,,1,Yonex,2-3 months,Recommendation,,1-3 months,Online,Shuttlecocks,Grips,Fitness-focused,Very important,Maybe,Yes,Maybe,No,1500-3000,5000-10000,Skip,Likely,1,6,8,7
45+,Female,Tier 1,Working Professional,3-5/week,Beginner,Indoor courts,Stress relief,Fitness,1,Others,2-3 months,Brand,Recommendation,<1 month,Brand store,Strings,Apparel,Fitness-focused,Very important,Maybe,No,Maybe,No,1500-3000,5000-10000,Buy immediately,Likely,1,5,6,7
35-44,Male,Tier 1,Working Professional,3-5/week,Beginner,Society/club,Socializing,,1,Yonex,Never,Performance,Price,1-3 months,Brand store,Grips,Strings,Casual player,Somewhat important,Maybe,No,Yes,Maybe,500-1500,2000-5000,Skip,Neutral,0,5,6,4
35-44,Female,Tier 2,Working Professional,3-5/week,Advanced,Society/club,Competition,Socializing,1,Li-Ning,2-3 months,Price,Performance,<1 month,Online,Shoes,Shuttlecocks,Competitive player,Not important,No,No,Yes,Yes,500-1500,<2000,Buy immediately,Very likely,1,7,10,4
18-24,Male,Tier 3,Student,3-5/week,Competitive,Outdoor,Stress relief,,2,Yonex,2-3 months,Brand,Recommendation,3-6 months,Online,Grips,Shuttlecocks,Competitive player,Somewhat important,No,No,Yes,Yes,3000+,5000-10000,Buy branded,Very likely,1,8,12,8
45+,Male,Tier 1,Working Professional,1-2/week,Intermediate,Indoor courts,Competition,Socializing,3+,Li-Ning,2-3 months,Performance,Brand,1-3 months,Brand store,Grips,Strings,Fitness-focused,Very important,Yes,No,No,Yes,500-1500,2000-5000,Buy immediately,Neutral,0,5,7,5
18-24,Female,Tier 3,Working Professional,Rarely,Beginner,Society/club,Fitness,Competition,1,Decathlon,2-3 months,Recommendation,Brand,1-3 months,Brand store,Shuttlecocks,Grips,Casual player,Not important,No,Yes,Maybe,Yes,500-1500,2000-5000,Buy immediately,Likely,1,2,3,4
45+,Male,Tier 2,Working Professional,Occasionally,Intermediate,Society/club,Fitness,Socializing,2,Decathlon,2-3 months,Price,Brand,<1 month,Brand store,Shoes,Grips,Casual player,Somewhat important,Yes,No,Yes,Maybe,3000+,2000-5000,Buy immediately,Neutral,0,4,6,8
45+,Male,Tier 1,Working Professional,Rarely,Beginner,Outdoor,Fitness,,1,Yonex,Rarely,Price,Performance,3-6 months,Brand store,Shuttlecocks,Apparel,Casual player,Not important,No,No,Yes,Maybe,0-500,2000-5000,Buy branded,Unlikely,0,2,3,2
25-34,Male,Tier 1,Business Owner,Occasionally,Intermediate,Indoor courts,Competition,Socializing,2,Decathlon,2-3 months,Performance,Brand,3-6 months,Offline store,Shuttlecocks,Strings,Fitness-focused,Very important,Yes,No,Maybe,Yes,0-500,2000-5000,Buy immediately,Likely,1,4,6,3
45+,Male,Tier 1,Working Professional,Occasionally,Intermediate,Indoor courts,Competition,Socializing,2,Li-Ning,2-3 months,Brand,Price,>6 months,Brand store,Grips,Shuttlecocks,Fitness-focused,Somewhat important,Yes,No,Maybe,Maybe,1500-3000,5000-10000,Skip,Likely,1,4,6,6
25-34,Male,Tier 3,Working Professional,1-2/week,Intermediate,Indoor courts,Competition,,1,Li-Ning,2-3 months,Brand,Price,<1 month,Offline store,Shuttlecocks,Shoes,Casual player,Somewhat important,Yes,Yes,Maybe,Maybe,0-500,<2000,Borrow,Neutral,0,5,7,2
18-24,Female,Tier 3,Working Professional,1-2/week,Intermediate,Outdoor,Fitness,,3+,Yonex,Never,Price,Recommendation,3-6 months,Online,Shuttlecocks,Strings,Fitness-focused,Not important,No,No,Yes,Maybe,1500-3000,5000-10000,Borrow,Likely,1,5,7,6
18-24,Female,Tier 2,Working Professional,Occasionally,Intermediate,Society/club,Fitness,,2,Others,2-3 months,Performance,Recommendation,>6 months,Brand store,Shuttlecocks,Strings,Casual player,Not important,Yes,Yes,Maybe,Yes,1500-3000,5000-10000,Borrow,Neutral,0,4,6,6
25-34,Male,Tier 3,Working Professional,Rarely,Intermediate,Outdoor,Competition,Fitness,3+,Decathlon,2-3 months,Recommendation,,3-6 months,Offline store,Shoes,,Fitness-focused,Very important,Yes,Yes,Yes,No,1500-3000,2000-5000,Buy immediately,Very likely,1,3,5,7
Under 18,Female,Tier 3,Student,1-2/week,Advanced,Outdoor,Competition,Stress relief,1,Yonex,Never,Recommendation,Price,3-6 months,Online,Grips,Shuttlecocks,Competitive player,Somewhat important,Maybe,Yes,Maybe,Yes,1500-3000,2000-5000,Buy branded,Very likely,1,6,9,6
25-34,Male,Tier 2,Working Professional,Daily,Competitive,Society/club,Fitness,Stress relief,2,Li-Ning,Monthly,Price,,3-6 months,Offline store,Shuttlecocks,Apparel,Aspiring professional,Somewhat important,No,Yes,Yes,Yes,1500-3000,2000-5000,Buy branded,Very likely,1,9,13,6
45+,Male,Tier 2,Working Professional,Occasionally,Intermediate,Outdoor,Competition,Fitness,3+,Yonex,Rarely,Price,Performance,>6 months,Offline store,Grips,Strings,Casual player,Somewhat important,Yes,No,Yes,Yes,500-1500,2000-5000,Buy branded,Likely,1,4,6,4
18-24,Male,Tier 2,Working Professional,3-5/week,Competitive,Indoor courts,Stress relief,,3+,Decathlon,Monthly,Price,,<1 month,Brand store,Strings,Shuttlecocks,Fitness-focused,Very important,Maybe,No,Maybe,Maybe,1500-3000,2000-5000,Buy branded,Likely,1,8,12,7
35-44,Male,Tier 2,Others,Daily,Advanced,Society/club,Socializing,,3+,Yonex,Rarely,Performance,,<1 month,Brand store,Shuttlecocks,Apparel,Competitive player,Very important,Yes,No,Yes,Yes,1500-3000,2000-5000,Buy branded,Very likely,1,8,11,7
45+,Male,Tier 1,Others,Occasionally,Intermediate,Indoor courts,Fitness,Socializing,2,Yonex,2-3 months,Recommendation,Price,3-6 months,Brand store,Shuttlecocks,Grips,Fitness-focused,Very important,Yes,No,Yes,Maybe,1500-3000,2000-5000,Borrow,Neutral,0,4,6,7
45+,Prefer not to say,Tier 2,Working Professional,1-2/week,Intermediate,Indoor courts,Competition,Stress relief,2,Yonex,Never,Performance,,<1 month,Online,Shuttlecocks,Grips,Fitness-focused,Not important,No,No,Yes,No,500-1500,2000-5000,Buy branded,Neutral,0,5,7,4
45+,Male,Tier 1,Working Professional,Occasionally,Beginner,Indoor courts,Socializing,Competition,2,Decathlon,2-3 months,Brand,Recommendation,3-6 months,Brand store,Shuttlecocks,Strings,Fitness-focused,Somewhat important,Maybe,Yes,Yes,No,0-500,2000-5000,Skip,Unlikely,0,3,4,2
25-34,Male,Tier 3,Others,Rarely,Beginner,Indoor courts,Stress relief,,1,Yonex,Rarely,Performance,,3-6 months,Offline store,Shoes,Grips,Casual player,Very important,Yes,Yes,Maybe,Maybe,0-500,2000-5000,Skip,Likely,1,2,3,3
45+,Male,Tier 3,Working Professional,1-2/week,Intermediate,Indoor courts,Fitness,Socializing,2,Yonex,Rarely,Brand,,1-3 months,Offline store,Grips,Shuttlecocks,Fitness-focused,Not important,No,Yes,Maybe,Yes,1500-3000,5000-10000,Buy branded,Very likely,1,5,7,6
35-44,Female,Tier 1,Working Professional,1-2/week,Intermediate,Indoor courts,Fitness,Stress relief,3+,Decathlon,Rarely,Recommendation,Brand,1-3 months,Offline store,Strings,Apparel,Fitness-focused,Not important,No,No,Yes,Yes,0-500,<2000,Buy immediately,Likely,1,5,7,2
18-24,Female,Tier 1,Working Professional,3-5/week,Intermediate,Society/club,Socializing,,1,Yonex,Monthly,Price,Performance,<1 month,Offline store,Apparel,Strings,Casual player,Somewhat important,Maybe,No,Yes,Maybe,500-1500,5000-10000,Buy immediately,Very likely,1,6,8,4
18-24,Male,Tier 2,Student,1-2/week,Intermediate,Indoor courts,Fitness,Stress relief,1,Yonex,2-3 months,Performance,Brand,<1 month,Online,Strings,Shuttlecocks,Casual player,Somewhat important,Maybe,Yes,Yes,Yes,1500-3000,2000-5000,Buy immediately,Unlikely,0,5,7,6
25-34,Male,Tier 2,Working Professional,Occasionally,Beginner,Indoor courts,Socializing,Competition,1,Decathlon,Rarely,Recommendation,Price,3-6 months,Offline store,Apparel,Strings,Casual player,Somewhat important,Maybe,Yes,Yes,Maybe,500-1500,2000-5000,Buy immediately,Very likely,1,3,4,4
18-24,Male,Tier 1,Working Professional,1-2/week,Beginner,Indoor courts,Fitness,Competition,2,Others,Rarely,Performance,,1-3 months,Online,Shuttlecocks,Grips,Fitness-focused,Not important,No,No,Maybe,Yes,500-1500,<2000,Borrow,Neutral,0,4,5,4
25-34,Male,Tier 2,Working Professional,3-5/week,Competitive,Society/club,Fitness,Stress relief,3+,Li-Ning,2-3 months,Performance,,<1 month,Online,Shuttlecocks,Apparel,Competitive player,Very important,Maybe,No,Maybe,Yes,3000+,2000-5000,Skip,Likely,1,8,12,9
25-34,Male,Tier 1,Working Professional,Daily,Intermediate,Society/club,Socializing,Competition,2,Li-Ning,Monthly,Price,Performance,<1 month,Brand store,Strings,Grips,Casual player,Not important,No,Yes,Yes,Yes,500-1500,2000-5000,Borrow,Likely,1,7,9,4
18-24,Male,Tier 1,Student,1-2/week,Advanced,Outdoor,Fitness,Competition,3+,Yonex,2-3 months,Price,,<1 month,Brand store,Apparel,,Fitness-focused,Not important,Maybe,Yes,Maybe,Yes,500-1500,<2000,Buy immediately,Likely,1,6,9,4
25-34,Male,Tier 1,Working Professional,1-2/week,Intermediate,Society/club,Fitness,Competition,2,Decathlon,2-3 months,Price,Recommendation,1-3 months,Offline store,Shuttlecocks,Shoes,Fitness-focused,Very important,Yes,Yes,Maybe,Maybe,0-500,<2000,Buy immediately,Likely,1,5,7,3
35-44,Male,Tier 1,Working Professional,Occasionally,Intermediate,Indoor courts,Socializing,Competition,3+,Yonex,Monthly,Recommendation,Performance,3-6 months,Brand store,Shoes,Grips,Fitness-focused,Not important,No,Yes,Yes,Maybe,1500-3000,<2000,Buy immediately,Very likely,1,4,6,6
18-24,Male,Tier 3,Student,1-2/week,Intermediate,Indoor courts,Competition,Socializing,1,Yonex,2-3 months,Brand,Price,<1 month,Online,Apparel,Shuttlecocks,Fitness-focused,Not important,Maybe,Yes,No,Yes,1500-3000,2000-5000,Skip,Likely,1,5,7,6
Under 18,Female,Tier 3,Student,3-5/week,Intermediate,Indoor courts,Competition,,2,Yonex,Monthly,Performance,,1-3 months,Offline store,Grips,Shuttlecocks,Fitness-focused,Not important,Maybe,No,Maybe,Yes,1500-3000,2000-5000,Buy immediately,Neutral,0,6,8,6
Under 18,Female,Tier 2,Student,1-2/week,Beginner,Outdoor,Competition,Stress relief,1,Decathlon,Rarely,Price,Performance,1-3 months,Brand store,Shoes,Grips,Competitive player,Not important,No,Yes,Maybe,Maybe,0-500,<2000,Skip,Very likely,1,4,5,2
18-24,Male,Tier 2,Student,Rarely,Beginner,Society/club,Fitness,Competition,1,Decathlon,Rarely,Recommendation,Price,3-6 months,Online,Grips,Shuttlecocks,Casual player,Not important,No,Yes,Maybe,Yes,0-500,<2000,Buy immediately,Neutral,0,2,3,2
45+,Male,Tier 1,Others,3-5/week,Beginner,Indoor courts,Socializing,Stress relief,1,Others,Rarely,Brand,Price,3-6 months,Online,Grips,,Competitive player,Very important,Yes,Yes,No,Yes,1500-3000,5000-10000,Buy immediately,Likely,1,5,6,7
18-24,Male,Tier 2,Student,Occasionally,Intermediate,Indoor courts,Fitness,Socializing,2,Yonex,Never,Brand,Performance,1-3 months,Online,Strings,,Competitive player,Somewhat important,Maybe,No,Yes,Yes,500-1500,<2000,Buy immediately,Neutral,0,4,6,4
25-34,Male,Tier 1,Working Professional,1-2/week,Intermediate,Indoor courts,Competition,,3+,Decathlon,2-3 months,Brand,,1-3 months,Brand store,Grips,Strings,Aspiring professional,Somewhat important,Yes,No,Yes,Yes,500-1500,2000-5000,Buy branded,Very likely,1,5,7,4
18-24,Female,Tier 2,Student,Occasionally,Intermediate,Indoor courts,Competition,Socializing,2,Li-Ning,Rarely,Brand,,3-6 months,Offline store,Shuttlecocks,Apparel,Competitive player,Very important,No,Yes,Yes,Maybe,1500-3000,<2000,Borrow,Likely,1,4,6,7
18-24,Male,Tier 3,Student,3-5/week,Advanced,Outdoor,Socializing,,1,Yonex,2-3 months,Price,Brand,3-6 months,Offline store,Strings,Shuttlecocks,Fitness-focused,Very important,No,No,Maybe,Maybe,1500-3000,10000+,Borrow,Likely,1,7,10,7
35-44,Female,Tier 1,Business Owner,Rarely,Intermediate,Society/club,Competition,Fitness,3+,Li-Ning,Monthly,Price,,3-6 months,Online,Strings,Apparel,Casual player,Somewhat important,No,No,Yes,Yes,1500-3000,2000-5000,Buy branded,Very likely,1,3,5,6
25-34,Female,Tier 3,Working Professional,1-2/week,Beginner,Outdoor,Competition,Fitness,1,Decathlon,Never,Price,Performance,<1 month,Offline store,Apparel,Shuttlecocks,Fitness-focused,Somewhat important,Maybe,Yes,Yes,Maybe,0-500,2000-5000,Borrow,Likely,1,4,5,2
Under 18,Male,Tier 1,Student,Occasionally,Beginner,Indoor courts,Socializing,Competition,3+,Decathlon,Never,Performance,Price,>6 months,Brand store,Grips,Apparel,Fitness-focused,Very important,Yes,No,Yes,Maybe,1500-3000,5000-10000,Borrow,Likely,1,3,4,7
18-24,Male,Tier 1,Student,3-5/week,Intermediate,Indoor courts,Stress relief,Socializing,3+,Yonex,2-3 months,Performance,Brand,1-3 months,Brand store,Strings,Shuttlecocks,Aspiring professional,Somewhat important,Maybe,No,Maybe,Maybe,0-500,<2000,Borrow,Very likely,1,6,8,2
Under 18,Male,Tier 1,Student,Occasionally,Beginner,Society/club,Socializing,Fitness,1,Others,Rarely,Performance,Brand,3-6 months,Online,Strings,Apparel,Fitness-focused,Not important,No,Yes,Maybe,Yes,0-500,<2000,Skip,Likely,1,3,4,2
18-24,Male,Tier 1,Student,Occasionally,Beginner,Society/club,Fitness,,1,Li-Ning,Never,Performance,Price,3-6 months,Online,Grips,Strings,Casual player,Very important,Yes,Yes,Maybe,Maybe,0-500,<2000,Buy branded,Very likely,1,3,4,3
25-34,Male,Tier 1,Working Professional,1-2/week,Intermediate,Indoor courts,Socializing,,2,Others,2-3 months,Performance,Brand,1-3 months,Online,Shuttlecocks,Apparel,Competitive player,Not important,Yes,No,Maybe,Maybe,3000+,5000-10000,Buy branded,Very likely,1,5,7,8
Under 18,Male,Tier 1,Student,1-2/week,Beginner,Indoor courts,Socializing,,2,Decathlon,Never,Brand,Price,3-6 months,Online,Shuttlecocks,,Casual player,Not important,No,Yes,No,Maybe,1500-3000,10000+,Borrow,Neutral,0,4,5,6
